Ano;Regiao;Estado;Torre;Variavel;Consecutivo;Gap;Outlier;MDQI
2000;NE;BA;SALVADOR;Unnamed: 19;0,0;1,0;0,0;0,3333333333333333
2000;N;AM;MANAUS;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);0,0;0,1111111111111111;0,0;0,05555555555555555
2000;N;AM;MANAUS;PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);0,15084388185654007;0,11128691983122363;0,0;0,08737693389592123
2000;N;AM;MANAUS;PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);0,16824894514767932;0,1190225035161744;0,0;0,0957571495546179
2000;N;AM;MANAUS;PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);0,170182841068917;0,1190225035161744;0,0;0,0964017815283638
2000;N;AM;MANAUS;RADIACAO GLOBAL (KJ/m²);0,0;0,5467651195499297;0,0;0,27338255977496484
2000;N;AM;MANAUS;TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);0,15207454289732772;0,11128691983122363;0,0;0,08778715424285044
2000;N;AM;MANAUS;TEMPERATURA DO PONTO DE ORVALHO (°C);0,19567510548523206;0,11128691983122363;0,0;0,10232067510548522
2000;N;AM;MANAUS;TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);0,1742264416315049;0,1190225035161744;0,0;0,09774964838255977
2000;N;AM;MANAUS;TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);0,18372011251758089;0,1190225035161744;0,0;0,1009142053445851
2000;N;AM;MANAUS;TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);0,23593530239099858;0,1190225035161744;0,0;0,11831926863572433
2000;N;AM;MANAUS;TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);0,2429676511954993;0,1190225035161744;0,0;0,12066338490389122
2000;N;AM;MANAUS;UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);0,28744725738396626;0,1190225035161744;0,0;0,1354899203000469
2000;N;AM;MANAUS;UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);0,24208860759493672;0,1190225035161744;0,0;0,12037037037037036
2000;N;AM;MANAUS;UMIDADE RELATIVA DO AR, HORARIA (%);0,21835443037974683;0,11128691983122363;0,0;0,10988045007032349
2000;N;AM;MANAUS;VENTO, DIREÇÃO HORARIA (gr) (° (gr));0,12728551336146274;0,11919831223628692;0,0;0,08216127519924989
2000;N;AM;MANAUS;VENTO, RAJADA MAXIMA (m/s);0,1591068917018284;0,12078059071729957;0,0;0,09329582747304266
2000;N;AM;MANAUS;VENTO, VELOCIDADE HORARIA (m/s);0,20130098452883263;0,11163853727144867;0,0;0,1043131739334271
2000;N;AM;MANAUS;Unnamed: 19;0,0;1,0;0,0;0,3333333333333333
2000;SE;RJ;ECOLOGIA AGRICOLA;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);0,0;0,11628312412831242;0,0;0,05814156206415621
2000;SE;RJ;ECOLOGIA AGRICOLA;PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);0,16684100418410042;0,11628312412831242;0,0;0,09437470943747095
2000;SE;RJ;ECOLOGIA AGRICOLA;PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);0,18322873082287308;0,11680613668061367;0,0;0,10001162250116225
2000;SE;RJ;ECOLOGIA AGRICOLA;PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);0,18357740585774057;0,11680613668061367;0,0;0,10012784751278475
2000;SE;RJ;ECOLOGIA AGRICOLA;RADIACAO GLOBAL (KJ/m²);0,0;0,5306834030683403;0,0;0,26534170153417014
