Ano;Regiao;Estado;Torre;Variavel;Consecutivo;Gap;Outlier;MDQI
2001;CO;GO;GOIANIA;Unnamed: 19;0,0;1,0;0,0;0,3333333333333333
2001;CO;GO;MORRINHOS;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);0,0;0,1223604826546003;0,0;0,06118024132730015
2001;CO;GO;MORRINHOS;PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);0,16874057315233787;0,1223604826546003;0,0;0,09703368526897939
2001;CO;GO;MORRINHOS;PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);0,1864630467571644;0,1287707390648567;0,0;0,10507792860734037
2001;CO;GO;MORRINHOS;PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);0,19098793363499245;0,1287707390648567;0,0;0,10658622423328305
2001;CO;GO;MORRINHOS;RADIACAO GLOBAL (KJ/m²);0,0;0,5382730015082956;0,0;0,2691365007541478
2001;CO;GO;MORRINHOS;TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);0,15855957767722473;0,12330316742081449;0,0;0,09395424836601307
2001;CO;GO;MORRINHOS;TEMPERATURA DO PONTO DE ORVALHO (°C);0,1955128205128205;0,12330316742081449;0,0;0,10627199597787833
2001;CO;GO;MORRINHOS;TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);0,17194570135746606;0,12952488687782807;0,0;0,10049019607843139
2001;CO;GO;MORRINHOS;TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);0,17420814479638008;0,12952488687782807;0,0;0,10124434389140273
2001;CO;GO;MORRINHOS;TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);0,22530165912518854;0,12952488687782807;0,0;0,11827551533433887
2001;CO;GO;MORRINHOS;TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);0,22624434389140272;0,12952488687782807;0,0;0,1185897435897436
2001;CO;GO;MORRINHOS;UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);0,23548265460030166;0,12933634992458523;0,0;0,12160633484162897
